run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch8688-seed2-8796,2,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.306,1.0,0.652,0.683,0.275,0.889,0.901,1.0,1.0,1.0,0.958,1.0,3.111,0.222,3.333,0.2544,0.0,,0.0,,
slurm-batch8688-seed3-8848,3,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.2,1.0,0.635,0.695,0.382,0.84,0.84,1.0,1.0,0.938,0.923,1.0,2.778,0.222,3.0,0.2698,0.0,,0.0,,
slurm-batch8688-seed4-8849,4,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.183,1.0,0.65,0.658,0.296,0.864,0.877,1.0,1.0,0.926,0.933,1.0,2.667,0.444,3.111,0.271,0.0,,0.0,,
slurm-batch8688-seed5-8864,5,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,6,6,0.667,0.35,1.0,0.642,0.699,0.305,0.914,0.963,1.0,1.0,1.0,0.975,1.0,3.667,0.111,3.778,0.268,0.0,,0.0,,
slurm-batch8688-seed6-8865,6,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,6,6,0.667,0.3,1.0,0.65,0.599,0.394,0.827,0.889,1.0,0.988,0.975,0.936,1.0,2.444,0.222,2.667,0.2559,0.0,,0.0,,
slurm-batch8688-seed7-8961,7,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.222,1.0,0.652,0.683,0.39,0.79,0.852,1.0,1.0,0.988,0.926,1.0,2.778,0.222,3.0,0.2692,0.0,,0.0,,
slurm-batch8688-seed8-8962,8,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,8,8,0.889,0.456,1.0,0.642,0.717,0.374,0.938,0.975,1.0,1.0,1.0,0.983,1.0,3.444,0.111,3.556,0.2528,0.0,,0.0,,
slurm-batch8688-seed9-8972,9,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.183,1.0,0.651,0.625,0.348,0.778,0.778,1.0,1.0,0.975,0.906,1.0,3.222,0.333,3.556,0.2636,0.0,,0.0,,
slurm-batchrerun-Qwen3-8B-to-Qwen2.5-3B-Instruct-20260406144743-seed10-9268,10,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.161,1.0,0.646,0.683,0.411,0.728,0.79,1.0,1.0,1.0,0.904,1.0,2.444,0.444,2.889,0.257,0.0,,0.0,,
slurm-batch8689-seed1-8795,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,4,4,0.444,0.272,1.0,0.65,0.645,0.347,0.852,0.827,1.0,1.0,0.975,0.931,1.0,1.889,0.222,2.111,0.2504,0.0,,0.0,,
slurm-batch8689-seed10-8971,10,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,5,5,0.556,0.256,1.0,0.646,0.624,0.319,0.864,0.901,1.0,1.0,1.0,0.953,1.0,2.556,0.333,2.889,0.264,0.0,,0.0,,
slurm-batch8689-seed2-8797,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,5,5,0.556,0.256,1.0,0.648,0.646,0.335,0.889,0.926,1.0,1.0,1.0,0.963,1.0,2.667,0.333,3.0,0.2554,0.0,,0.0,,
slurm-batch8689-seed3-8850,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,6,6,0.667,0.317,1.0,0.642,0.704,0.328,0.914,1.0,1.0,1.0,1.0,0.983,1.0,2.778,0.0,2.778,0.2636,0.0,,0.0,,
slurm-batch8689-seed4-8851,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,4,4,0.444,0.233,1.0,0.644,0.609,0.267,0.889,0.889,1.0,1.0,1.0,0.956,1.0,2.556,0.111,2.667,0.2694,0.0,,0.0,,
slurm-batch8689-seed5-8866,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,4,4,0.444,0.25,1.0,0.65,0.648,0.343,0.84,0.926,1.0,1.0,1.0,0.953,1.0,2.667,0.111,2.778,0.2696,0.0,,0.0,,
slurm-batch8689-seed6-8867,6,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,6,6,0.667,0.35,1.0,0.639,0.684,0.304,0.938,0.889,1.0,1.0,1.0,0.965,1.0,2.556,0.0,2.556,0.2588,0.0,,0.0,,
slurm-batch8689-seed7-8959,7,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,5,5,0.556,0.267,1.0,0.644,0.683,0.343,0.914,0.926,1.0,1.0,1.0,0.968,1.0,3.0,0.111,3.111,0.2658,0.0,,0.0,,
slurm-batch8689-seed8-8960,8,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,4,4,0.444,0.222,1.0,0.649,0.674,0.367,0.877,0.914,1.0,1.0,1.0,0.958,1.0,2.889,0.333,3.222,0.2671,0.0,,0.0,,
slurm-batch8689-seed9-8970,9,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,9,6,6,0.667,0.3,1.0,0.655,0.636,0.304,0.914,0.963,1.0,1.0,1.0,0.975,1.0,3.0,0.333,3.333,0.252,0.0,,0.0,,
slurm-batch8686-seed1-8788,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.278,1.0,0.63,0.693,0.28,0.901,0.938,1.0,1.0,1.0,0.968,1.0,2.444,0.111,2.556,0.266,0.0,,0.0,,
slurm-batch8686-seed10-8964,10,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.278,1.0,0.64,0.663,0.42,0.889,0.889,1.0,1.0,0.963,0.948,1.0,1.111,0.556,1.667,0.2609,0.0,,0.0,,
slurm-batch8686-seed2-8789,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.367,1.0,0.631,0.692,0.349,0.889,0.901,1.0,1.0,0.963,0.951,1.0,1.667,0.222,1.889,0.2615,0.0,,0.0,,
slurm-batch8686-seed3-8836,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.322,1.0,0.638,0.706,0.353,0.889,0.914,1.0,1.0,1.0,0.96,1.0,2.111,0.444,2.556,0.2575,0.0,,0.0,,
slurm-batch8686-seed4-8837,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,7,7,0.778,0.367,1.0,0.64,0.703,0.354,0.938,0.963,1.0,1.0,1.0,0.98,1.0,1.778,0.111,1.889,0.2637,0.0,,0.0,,
slurm-batch8686-seed5-8858,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.233,1.0,0.638,0.649,0.364,0.852,0.864,1.0,1.0,1.0,0.943,1.0,1.333,0.556,1.889,0.2728,0.0,,0.0,,
slurm-batch8686-seed6-8859,6,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,7,7,0.778,0.422,1.0,0.636,0.691,0.325,0.951,1.0,1.0,1.0,1.0,0.99,1.0,2.0,0.0,2.0,0.2597,0.0,,0.0,,
slurm-batch8686-seed7-8868,7,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.256,1.0,0.635,0.728,0.349,0.877,0.926,1.0,1.0,1.0,0.96,1.0,1.444,0.111,1.556,0.2623,0.0,,0.0,,
slurm-batch8686-seed8-8869,8,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.3,1.0,0.645,0.658,0.232,0.901,0.926,1.0,1.0,1.0,0.965,1.0,2.444,0.222,2.667,0.2716,0.0,,0.0,,
slurm-batch8686-seed9-8963,9,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.256,1.0,0.633,0.68,0.309,0.864,0.864,0.988,1.0,1.0,0.943,1.0,2.0,0.222,2.222,0.2646,0.0,,0.0,,
slurm-batch8675-seed1-8694,1,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.444,1.0,0.63,0.636,0.324,0.926,0.975,1.0,1.0,1.0,0.98,1.0,0.556,0.111,0.667,0.2598,0.0,,0.0,,
slurm-batch8675-seed2-8695,2,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.361,1.0,0.631,0.687,0.285,0.901,0.975,1.0,1.0,1.0,0.975,1.0,1.444,0.0,1.444,0.2557,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-1.5B-Instruct-20260406102043-seed10-9134,10,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,9,9,1.0,0.439,1.0,0.626,0.65,0.319,0.988,1.0,1.0,1.0,1.0,0.998,1.0,1.111,0.0,1.111,0.252,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-1.5B-Instruct-20260406102043-seed3-9127,3,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,0.667,0.372,1.0,0.636,0.701,0.3,0.84,0.938,1.0,1.0,0.975,0.951,1.0,1.0,0.0,1.0,0.2532,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-1.5B-Instruct-20260406102043-seed5-9129,5,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.461,1.0,0.638,0.67,0.372,0.951,1.0,1.0,1.0,1.0,0.99,1.0,0.444,0.0,0.444,0.2569,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-1.5B-Instruct-20260406144744-seed6-9270,6,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.483,1.0,0.64,0.741,0.359,0.926,0.963,1.0,1.0,1.0,0.978,1.0,1.222,0.0,1.222,0.25,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-1.5B-Instruct-20260406144744-seed8-9272,8,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.417,1.0,0.639,0.652,0.367,0.914,0.975,1.0,1.0,1.0,0.978,1.0,0.667,0.0,0.667,0.2461,0.0,,0.0,,
slurm-batch8676-seed1-8690,1,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.089,1.0,0.64,0.558,0.275,0.679,0.728,0.988,1.0,1.0,0.879,1.0,3.0,0.0,3.0,0.2448,0.0,,0.0,,
slurm-batch8676-seed2-8691,2,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.211,1.0,0.64,0.592,0.34,0.679,0.753,0.951,1.0,0.951,0.867,1.0,1.556,0.333,1.889,0.2438,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406102051-seed4-9136,4,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.178,1.0,0.645,0.607,0.321,0.778,0.753,1.0,1.0,0.975,0.901,1.0,2.667,0.0,2.667,0.2564,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406102051-seed9-9142,9,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,2,2,0.222,0.133,1.0,0.646,0.477,0.274,0.593,0.679,0.889,1.0,0.914,0.815,1.0,2.556,0.222,2.778,0.2337,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406144750-seed5-9275,5,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.178,1.0,0.654,0.518,0.211,0.802,0.84,1.0,1.0,0.963,0.921,1.0,2.889,0.444,3.333,0.2581,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406144750-seed6-9276,6,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.133,1.0,0.665,0.558,0.235,0.728,0.753,0.864,1.0,0.938,0.857,1.0,3.333,0.0,3.333,0.2461,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406144750-seed7-9277,7,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.2,1.0,0.645,0.615,0.218,0.679,0.765,0.988,1.0,0.951,0.877,1.0,2.556,0.0,2.556,0.2483,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen2.5-3B-Instruct-20260406144750-seed8-9278,8,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.161,1.0,0.647,0.47,0.293,0.654,0.679,0.901,1.0,0.889,0.825,1.0,2.667,0.444,3.111,0.2353,0.0,,0.0,,
slurm-batch8677-seed1-8696,1,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,4,4,0.444,0.183,1.0,0.656,0.56,0.321,0.741,0.815,1.0,1.0,1.0,0.911,1.0,2.333,0.111,2.444,0.2497,0.0,,0.0,,
slurm-batch8677-seed2-8697,2,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,3,3,0.333,0.228,1.0,0.639,0.551,0.297,0.741,0.827,1.0,1.0,1.0,0.914,1.0,1.556,0.0,1.556,0.2606,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3-8B-20260406102059-seed10-9151,10,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,4,4,0.444,0.161,1.0,0.655,0.533,0.366,0.741,0.827,1.0,1.0,1.0,0.914,1.0,1.556,0.0,1.556,0.2535,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3-8B-20260406102059-seed5-9146,5,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,3,3,0.333,0.178,1.0,0.645,0.552,0.368,0.704,0.802,1.0,1.0,0.963,0.894,1.0,1.444,0.0,1.444,0.2661,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3-8B-20260406102059-seed6-9147,6,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,4,4,0.444,0.25,1.0,0.631,0.628,0.234,0.778,0.815,1.0,1.0,0.938,0.906,1.0,1.222,0.111,1.333,0.2559,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3-8B-20260406144756-seed3-9280,3,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,4,4,0.444,0.25,1.0,0.637,0.66,0.346,0.827,0.926,1.0,1.0,1.0,0.951,1.0,0.667,0.0,0.667,0.2597,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3-8B-20260406144756-seed7-9282,7,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3-8B,9,4,4,0.444,0.222,1.0,0.652,0.568,0.318,0.642,0.654,1.0,1.0,0.938,0.847,1.0,1.556,0.111,1.667,0.2471,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406102107-seed10-9162,10,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.167,1.0,0.653,0.522,0.293,0.556,0.654,0.951,0.975,0.938,0.815,1.0,0.222,0.333,0.556,0.2464,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406102107-seed2-9153,2,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.3,1.0,0.64,0.594,0.316,0.728,0.827,0.951,1.0,0.951,0.891,1.0,1.222,0.0,1.222,0.2568,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406102107-seed6-9158,6,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.322,1.0,0.648,0.641,0.365,0.84,0.914,1.0,1.0,1.0,0.951,1.0,1.444,0.0,1.444,0.2487,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406102107-seed9-9161,9,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.3,1.0,0.64,0.577,0.293,0.753,0.815,1.0,1.0,1.0,0.914,1.0,1.111,0.111,1.222,0.2507,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406144801-seed3-9285,3,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.294,1.0,0.654,0.605,0.33,0.741,0.802,1.0,0.889,1.0,0.886,1.0,0.444,0.0,0.444,0.2448,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406144801-seed4-9286,4,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.35,1.0,0.628,0.647,0.348,0.827,0.864,0.975,1.0,0.877,0.909,1.0,0.889,0.111,1.0,0.2638,0.0,,0.0,,
slurm-batchrerun-Qwen3.5-4B-Base-to-Qwen3.5-4B-Base-20260406144801-seed8-9289,8,tool,Qwen/Qwen3.5-4B-Base,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.283,1.0,0.637,0.584,0.302,0.704,0.728,0.975,1.0,0.938,0.869,1.0,1.111,0.111,1.222,0.2436,0.0,,0.0,,
